,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,DELL,Dell Technologies Inc.,Technology,Computer Hardware,USA,50360000000.0,25.97,68.39,0.21600000000000003,22886546.0
3,NTNX,Nutanix Inc.,Technology,Software - Infrastructure,USA,8390000000.000001,,35.01,0.1259,7319725.0
5,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,2870000000.0,4.28,90.56,0.0526,356802.0
7,CDLX,Cardlytics Inc.,Communication Services,Advertising Agencies,USA,655000000.0,,17.16,0.03,489458.0
8,GPOR,Gulfport Energy Corporation,Energy,Oil & Gas E&P,USA,2280000000.0,2.04,123.51,0.0467,115183.0
10,OII,Oceaneering International Inc.,Energy,Oil & Gas Equipment & Services,USA,2480000000.0,38.19,24.21,0.0623,854532.0
11,AMR,Alpha Metallurgical Resources Inc.,Basic Materials,Coking Coal,USA,2860000000.0,3.74,212.43,0.0473,245186.0
12,ACMR,ACM Research Inc.,Technology,Semiconductor Equipment & Materials,USA,1090000000.0,17.86,18.33,0.0437,685455.0
13,RCMT,RCM Technologies Inc.,Industrials,Conglomerates,USA,167610000.0,12.55,21.19,0.0316,31345.0
14,RVMD,Revolution Medicines Inc.,Healthcare,Biotechnology,USA,3680000000.0,,35.15,0.0347,357677.0
16,VEEV,Veeva Systems Inc.,Healthcare,Health Information Services,USA,34159999999.999996,60.19,216.37,0.0368,926546.0
17,ESTE,Earthstone Energy Inc.,Energy,Oil & Gas E&P,USA,2900000000.0,4.92,20.98,0.0292,815222.0
19,CIVI,Civitas Resources Inc.,Energy,Oil & Gas E&P,USA,7770000000.0,6.89,83.98,0.021400000000000002,353218.0
21,HOV,Hovnanian Enterprises Inc.,Consumer Cyclical,Residential Construction,USA,705980000.0,4.95,122.78,0.0332,54255.0
22,AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1320000000.0,14.28,80.22,0.032799999999999996,41259.0
23,CAL,Caleres Inc.,Consumer Cyclical,Apparel Retail,USA,1080000000.0,6.5,29.76,0.038,340738.0
24,APPF,AppFolio Inc.,Technology,Software - Application,USA,6880000000.0,,194.43,0.0086,111526.0
25,PRDO,Perdoceo Education Corporation,Consumer Defensive,Education & Training Services,USA,1110000000.0,9.31,17.26,0.0416,200830.0
26,NX,Quanex Building Products Corporation,Industrials,Building Products & Equipment,USA,954300000.0,32.4,28.77,0.0663,112328.0
27,TDW,Tidewater Inc.,Energy,Oil & Gas Equipment & Services,USA,3610000000.0,70.43,67.82,0.0429,584734.0
29,WFRD,Weatherford International plc,Energy,Oil & Gas Equipment & Services,USA,6420000000.0,26.11,89.93,0.016,597982.0
30,ASTE,Astec Industries Inc.,Industrials,Farm & Heavy Construction Machinery,USA,1270000000.0,50.84,55.62,0.0146,36319.0
31,SBOW,SilverBow Resources Inc.,Energy,Oil & Gas E&P,USA,962700000.0,2.23,42.92,0.0033,176791.0
32,UFPI,UFP Industries Inc.,Basic Materials,Lumber & Wood Production,USA,6640000000.0,11.81,107.48,0.03,97440.0
33,VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,USA,14250000000.0,84.26,40.11,0.0183,2208088.0
36,YETI,YETI Holdings Inc.,Consumer Cyclical,Leisure,USA,4360000000.0,66.87,50.89,0.018799999999999997,813437.0
37,CSPI,CSP Inc.,Technology,Information Technology Services,USA,77790000.0,21.87,16.14,0.041299999999999996,29638.0
38,GIC,Global Industrial Company,Industrials,Industrial Distribution,USA,1300000000.0,19.06,34.24,0.0118,26520.0
39,KE,Kimball Electronics Inc.,Industrials,Electrical Equipment & Parts,USA,767780000.0,12.29,31.16,0.0321,57252.0
40,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,37080000000.0,32.5,36.89,0.019299999999999998,4965042.0
41,NE,Noble Corporation Plc,Energy,Oil & Gas Drilling,USA,7340000000.0,21.37,53.85,0.021,1058599.0
42,MOD,Modine Manufacturing Company,Consumer Cyclical,Auto Parts,USA,2540000000.0,14.15,49.01,0.0298,476924.0
44,MOG-A,Moog Inc.,Industrials,Aerospace & Defense,USA,3800000000.0,23.8,119.57,0.0294,109774.0
47,IIIN,Insteel Industries Inc.,Industrials,Metal Fabrication,USA,679520000.0,13.63,35.54,0.0227,49338.0
48,BRZE,Braze Inc.,Technology,Software - Application,USA,4540000000.0,,47.24,0.0212,478466.0
49,OC,Owens Corning,Industrials,Building Products & Equipment,USA,13320000000.0,10.42,146.81,0.0202,191444.0
52,ANIP,ANI Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1310000000.0,,65.04,0.0101,107229.0
53,WDC,Western Digital Corporation,Technology,Computer Hardware,USA,15040000000.0,,46.27,0.0282,2009285.0
54,CHRD,Chord Energy Corporation,Energy,Oil & Gas E&P,USA,6810000000.0,3.9,165.24,0.0232,578821.0
55,AEO,American Eagle Outfitters Inc.,Consumer Cyclical,Apparel Retail,USA,3420000000.0,31.5,17.26,0.0177,2329050.0
56,ROCK,Gibraltar Industries Inc.,Industrials,Building Products & Equipment,USA,2320000000.0,26.7,76.56,0.0204,78821.0
57,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,249330000000.0,53.52,560.5,0.0021,1415957.0
58,FTAI,FTAI Aviation Ltd.,Industrials,Rental & Leasing Services,USA,3730000000.0,46.35,37.36,0.0108,484209.0
60,COUR,Coursera Inc.,Consumer Defensive,Education & Training Services,USA,2550000000.0,,17.47,0.0046,575257.0
61,APP,AppLovin Corporation,Technology,Software - Application,USA,14810000000.0,797.71,43.08,-0.0033,797979.0
62,KEX,Kirby Corporation,Industrials,Marine Shipping,USA,4930000000.0,29.03,84.12,0.015600000000000001,71986.0
64,CSCO,Cisco Systems Inc.,Technology,Communication Equipment,USA,233570000000.0,18.82,57.79,0.0078000000000000005,8480242.0
66,TPX,Tempur Sealy International Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,8150000000.0,20.24,47.23,0.0109,436418.0
68,ODFL,Old Dominion Freight Line Inc.,Industrials,Trucking,USA,47660000000.0,37.94,436.51,0.021400000000000002,253146.0
69,TIPT,Tiptree Inc.,Financial,Insurance - Specialty,USA,656160000.0,33.35,17.84,0.0125,39363.0
71,SPLK,Splunk Inc.,Technology,Software - Infrastructure,USA,19730000000.0,,122.4,0.009399999999999999,1281622.0
72,EVR,Evercore Inc.,Financial,Capital Markets,USA,5350000000.0,16.75,142.06,0.0144,117291.0
73,TOL,Toll Brothers Inc.,Consumer Cyclical,Residential Construction,USA,9280000000.0,6.04,84.14,0.027000000000000003,1283992.0
74,APOG,Apogee Enterprises Inc.,Industrials,Building Products & Equipment,USA,1140000000.0,10.93,51.47,0.02,22228.0
75,WK,Workiva Inc.,Technology,Software - Application,USA,5750000000.0,,111.2,-0.0058,231087.0
77,ANET,Arista Networks Inc.,Technology,Computer Hardware,USA,60120000000.0,36.2,196.07,0.0043,1039760.0
79,WDAY,Workday Inc.,Technology,Software - Application,USA,61210000000.0,,247.72,0.0132,498450.0
81,ITT,ITT Inc.,Industrials,Specialty Industrial Machinery,USA,8380000000.000001,20.15,103.47,0.0116,116201.0
82,CELH,Celsius Holdings Inc.,Consumer Defensive,Beverages - Non-Alcoholic,USA,14550000000.0,,193.86,-0.0111,468874.0
83,RELY,Remitly Global Inc.,Technology,Software - Infrastructure,USA,4480000000.0,,25.16,0.0004,723156.0
84,ALSN,Allison Transmission Holdings Inc.,Consumer Cyclical,Auto Parts,USA,5440000000.0,9.03,60.86,0.0068000000000000005,260727.0
85,DLR,Digital Realty Trust Inc.,Real Estate,REIT - Specialty,USA,40230000000.0,100.18,131.33,-0.003,555662.0
87,CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,USA,3080000000.0,56.96,64.25,0.0259,181575.0
88,VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,USA,11690000000.0,8.71,31.92,0.0159,1619051.0
91,HWKN,Hawkins Inc.,Basic Materials,Specialty Chemicals,USA,1300000000.0,20.62,62.61,0.0068000000000000005,25699.0
92,CRC,California Resources Corporation,Energy,Oil & Gas E&P,USA,3850000000.0,4.68,56.79,0.017,144073.0
93,BRBR,BellRing Brands Inc.,Consumer Defensive,Packaged Foods,USA,5350000000.0,36.4,41.35,-0.0036,341895.0
94,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA,2730000000.0,26.44,54.21,0.0086,610612.0
95,NVR,NVR Inc.,Consumer Cyclical,Residential Construction,USA,21110000000.0,13.82,6476.62,0.015600000000000001,11336.0
98,AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,USA,127610000000.0,20.29,153.93,0.0077,1514887.0
99,KNF,Knife River Corporation,Basic Materials,Building Materials,USA,2940000000.0,22.25,52.38,0.018000000000000002,241487.0
100,AVT,Avnet Inc.,Technology,Electronics & Computer Distribution,USA,4660000000.0,6.25,51.59,0.0166,192486.0
102,IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,USA,18250000000.0,48.76,63.19,-0.0055000000000000005,278090.0
103,ARES,Ares Management Corporation,Financial,Asset Management,USA,31440000000.0,63.37,103.54,0.001,269000.0
104,CHX,ChampionX Corporation,Energy,Oil & Gas Equipment & Services,USA,7270000000.0,29.95,36.96,0.0241,638453.0
105,IDYA,IDEAYA Biosciences Inc.,Healthcare,Biotechnology,USA,1710000000.0,,29.99,0.0213,201295.0
107,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,USA,19480000000.0,23.64,87.48,0.0143,530967.0
109,IOT,Samsara Inc.,Technology,Software - Infrastructure,USA,16090000000.0,,30.73,0.1232,7039220.0
110,ALKT,Alkami Technology Inc.,Technology,Software - Application,USA,1720000000.0,,18.04,0.0356,184262.0
111,KRT,Karat Packaging Inc.,Consumer Cyclical,Packaging & Containers,USA,516169999.99999994,17.31,26.15,0.0501,62485.0
112,FIX,Comfort Systems USA Inc.,Industrials,Engineering & Construction,USA,6580000000.0,27.48,186.29,0.009300000000000001,64583.0
113,EXP,Eagle Materials Inc.,Basic Materials,Building Materials,USA,6810000000.0,14.88,195.1,0.030600000000000002,155618.0
114,SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,USA,85800000000.0,21.98,60.02,0.018000000000000002,3733009.0
115,CE,Celanese Corporation,Basic Materials,Chemicals,USA,13920000000.0,11.04,128.54,0.0173,396415.0
116,PAGP,Plains GP Holdings L.P.,Energy,Oil & Gas Midstream,USA,3170000000.0,13.58,16.23,0.0115,497548.0
118,KNSL,Kinsale Capital Group Inc.,Financial,Insurance - Property & Casualty,USA,9170000000.0,40.97,403.32,0.0118,26777.0
119,NOG,Northern Oil and Gas Inc.,Energy,Oil & Gas E&P,USA,3920000000.0,3.03,42.94,0.0265,663763.0
120,SGEN,Seagen Inc.,Healthcare,Biotechnology,USA,38720000000.0,,208.44,0.0115,1352341.0
121,CNX,CNX Resources Corporation,Energy,Oil & Gas E&P,USA,3630000000.0,2.18,22.74,0.0172,685352.0
124,NTRA,Natera Inc.,Healthcare,Diagnostics & Research,USA,6660000000.0,,60.11,0.023399999999999997,492453.0
125,FSLY,Fastly Inc.,Technology,Software - Application,USA,2880000000.0,,24.05,0.0108,1205358.0
127,EXEL,Exelixis Inc.,Healthcare,Biotechnology,USA,7160000000.0,45.2,22.74,0.0154,619175.0
129,APO,Apollo Global Management Inc.,Financial,Asset Management,USA,48370000000.0,40.27,85.97,-0.015600000000000001,1640206.0
130,EME,EMCOR Group Inc.,Industrials,Engineering & Construction,USA,10590000000.0,22.52,226.98,0.012199999999999999,111002.0
131,MEDP,Medpace Holdings Inc.,Healthcare,Diagnostics & Research,USA,8150000000.0,32.75,273.89,0.0134,53015.0
132,INTU,Intuit Inc.,Technology,Software - Application,USA,146780000000.0,68.96,545.7,0.0072,616435.0
133,VCTR,Victory Capital Holdings Inc.,Financial,Asset Management,USA,2250000000.0,10.45,34.33,-0.0026,179533.0
134,MMP,Magellan Midstream Partners L.P.,Energy,Oil & Gas Midstream,USA,13440000000.0,13.3,66.61,0.0029,426090.0
135,VRSK,Verisk Analytics Inc.,Industrials,Consulting Services,USA,34810000000.0,50.28,242.6,0.0016,351744.0
136,HNI,HNI Corporation,Industrials,Business Equipment & Supplies,USA,1530000000.0,20.24,33.22,0.013999999999999999,71059.0
138,FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,USA,5260000000.0,22.27,40.22,0.0163,353427.0
139,AIT,Applied Industrial Technologies Inc.,Industrials,Industrial Distribution,USA,6020000000.0,17.73,156.73,0.015300000000000001,85130.0
141,WOR,Worthington Industries Inc.,Industrials,Metal Fabrication,USA,3800000000.0,14.85,77.09,0.0242,44381.0
142,FLT,FLEETCOR Technologies Inc.,Technology,Software - Infrastructure,USA,19960000000.0,22.03,273.23,0.0055000000000000005,169211.0
143,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,USA,522549999999.99994,77.26,556.14,0.0034999999999999996,767960.0
144,BCC,Boise Cascade Company,Basic Materials,Building Materials,USA,4460000000.0,7.68,111.89,0.023,91990.0
145,V,Visa Inc.,Financial,Credit Services,USA,498120000000.0,31.45,247.9,0.009000000000000001,2075060.0
